Wavelength(nm)	T%
618		-4.93E-05
617.5		2.99E-05
617		7.27E-05
616.5		0.000185146
616		-3.34E-05
615.5		4.23E-05
615		4.22E-05
614.5		0.000235429
614		4.28E-05
613.5		-0.000140175
613		0.000219985
612.5		0.000231466
612		0.000156363
611.5		0.000120405
611		1.98E-05
610.5		0.000214761
610		4.17E-05
609.5		4.59E-05
609		1.54E-05
608.5		0.0001438
608		0.000168785
607.5		0.000139296
607		3.40E-05
606.5		2.09E-05
606		3.19E-05
605.5		0.000147017
605		0.000108229
604.5		0.000108009
604		9.19E-05
603.5		0.000206672
603		4.54E-05
602.5		0.000195196
602		8.85E-05
601.5		0.000125827
601		5.31E-05
600.5		8.44E-05
600		5.49E-05
599.5		0.000106746
599		3.00E-05
598.5		0.000315107
598		0.000195656
597.5		0.000104103
597		-1.91E-05
596.5		0.00011445
596		0.000118889
595.5		0.000112976
595		7.20E-06
594.5		0.000118604
594		3.40E-05
593.5		-3.21E-05
593		-0.000125411
592.5		9.07E-05
592		0.000173093
591.5		5.80E-05
591		5.14E-05
590.5		0.000110887
590		-2.98E-05
589.5		6.45E-05
589		0.00023178
588.5		1.51E-05
588		0.000164808
587.5		0.000212233
587		9.56E-05
586.5		6.45E-05
586		8.14E-05
585.5		0.00023777
585		0.00024723
584.5		6.77E-05
584		-3.19E-05
583.5		0.000190443
583		0.000137152
582.5		0.00011669
582		0.000191893
581.5		0.000140213
581		0.000105989
580.5		8.07E-05
580		0.000232087
579.5		1.56E-05
579		0.00011218
578.5		0.0001406
578		0.000146619
577.5		0.000132251
577		4.67E-05
576.5		0.0001623
576		0.000127385
575.5		9.40E-05
575		0.000150014
574.5		-3.91E-05
574		-8.53E-05
573.5		-4.59E-05
573		0.000159489
572.5		0.000112017
572		8.10E-05
571.5		4.36E-05
571		-7.98E-05
570.5		0.000140136
570		0.000207141
569.5		0.000172642
569		7.63E-05
568.5		-3.37E-05
568		7.32E-05
567.5		0.000124018
567		0.000112439
566.5		0.000172883
566		5.92E-05
565.5		2.67E-05
565		9.13E-05
564.5		-4.60E-05
564		1.75E-05
563.5		-4.80E-05
563		6.41E-05
562.5		0.00016829
562		3.58E-05
561.5		-6.80E-05
561		0.000217381
560.5		-3.87E-05
560		0.000204312
559.5		5.43E-05
559		-3.49E-05
558.5		-4.57E-05
558		-6.27E-05
557.5		-5.15E-05
557		3.71E-05
556.5		0.000183873
556		0.000168137
555.5		0.00010387
555		0.000157625
554.5		0.000132195
554		0.000144107
553.5		0.000118368
553		0.000196203
552.5		4.10E-05
552		0.000210843
551.5		0.000162016
551		0.00016317
550.5		3.48E-05
550		3.70E-05
549.5		5.42E-05
549		-2.56E-05
548.5		6.55E-05
548		0.000128054
547.5		0.000151369
547		7.74E-05
546.5		0.000104445
546		3.69E-05
545.5		0.000123473
545		8.22E-05
544.5		-6.87E-06
544		9.94E-06
543.5		4.09E-05
543		4.12E-05
542.5		0.000192362
542		0.000128932
541.5		3.65E-05
541		0.000133534
540.5		0.000159017
540		8.19E-05
539.5		8.03E-05
539		0.000184585
538.5		6.36E-05
538		0.000119467
537.5		0.000199331
537		7.54E-05
536.5		2.19E-05
536		0.000163001
535.5		9.47E-05
535		-3.27E-05
534.5		3.18E-05
534		0.000110332
533.5		5.61E-05
533		-5.03E-06
532.5		7.46E-05
532		-1.90E-05
531.5		2.88E-05
531		0.00014732
530.5		3.16E-06
530		2.47E-06
529.5		-1.54E-05
529		-4.40E-05
528.5		8.10E-05
528		4.33E-05
527.5		6.43E-06
527		0.000167362
526.5		0.000121968
526		5.71E-05
525.5		-0.000128012
525		6.76E-05
524.5		0.000212348
524		0.000127173
523.5		0.000150626
523		0.000128946
522.5		6.67E-05
522		6.52E-06
521.5		3.06E-05
521		0.00013403
520.5		0.000183015
520		3.29E-06
519.5		0.000181266
519		0.000110042
518.5		4.87E-05
518		8.14E-05
517.5		0.000181468
517		2.92E-05
516.5		0.000118306
516		0.00013668
515.5		0.000132706
515		0.000111784
514.5		0.000201486
514		0.000142345
513.5		5.86E-05
513		7.92E-05
512.5		0.000113219
512		0.000273505
511.5		0.000165464
511		0.000244828
510.5		0.000109717
510		0.000174839
509.5		1.97E-05
509		9.41E-05
508.5		9.51E-05
508		0.000208091
507.5		0.000122764
507		0.000119549
506.5		-8.24E-06
506		5.98E-05
505.5		0.000129185
505		0.000161329
504.5		7.72E-05
504		-2.49E-06
503.5		-3.54E-05
503		6.84E-05
502.5		0.000147345
502		0.00017505
501.5		0.00014095
501		2.57E-05
500.5		0.000148418
500		0.000120898
499.5		0.000237897
499		9.36E-05
498.5		0.000166177
498		0.000155697
497.5		0.000101092
497		4.01E-05
496.5		7.02E-05
496		-8.57E-06
495.5		0.000144802
495		6.86E-05
494.5		-3.53E-05
494		3.69E-05
493.5		5.24E-06
493		8.65E-05
492.5		9.41E-05
492		0.000208336
491.5		9.65E-05
491		5.44E-05
490.5		-1.53E-05
490		5.36E-05
489.5		5.80E-05
489		-1.15E-05
488.5		0.000223161
488		-4.51E-05
487.5		0.00017856
487		0.000215776
486.5		1.40E-05
486		3.48E-05
485.5		0.000253472
485		-7.75E-06
484.5		8.59E-05
484		5.60E-05
483.5		-5.06E-06
483		9.27E-05
482.5		2.37E-05
482		7.04E-05
481.5		1.19E-05
481		7.98E-05
480.5		0.000227044
480		0.000117041
479.5		0.000107088
479		8.55E-05
478.5		4.00E-06
478		0.000104829
477.5		6.60E-05
477		1.88E-05
476.5		4.13E-05
476		4.56E-05
475.5		8.63E-06
475		0.000189466
474.5		-5.86E-05
474		0.000125026
473.5		6.63E-05
473		-2.12E-05
472.5		0.000134492
472		0.000176247
471.5		0.000258003
471		0.000112853
470.5		0.000139115
470		7.26E-05
469.5		0.000246569
469		0.000125262
468.5		0.000220429
468		-3.53E-05
467.5		8.88E-05
467		0.000166575
466.5		-5.59E-05
466		6.10E-05
465.5		0.000153766
465		-0.000195374
464.5		7.91E-05
464		9.41E-06
463.5		-6.94E-05
463		9.96E-05
462.5		2.27E-05
462		8.19E-05
461.5		-0.000104895
461		0.000124711
460.5		-1.01E-05
460		8.44E-05
459.5		0.000119523
459		7.06E-05
458.5		1.34E-06
458		5.74E-05
457.5		0.000121914
457		0.000194183
456.5		0.000319957
456		0.000287181
455.5		0.000102411
455		0.000212743
454.5		4.00E-05
454		-1.94E-05
453.5		-4.13E-05
453		8.84E-05
452.5		-3.20E-05
452		8.65E-05
451.5		4.16E-05
451		6.80E-06
450.5		9.09E-05
450		2.28E-05
449.5		8.28E-05
449		4.71E-05
448.5		0.000132407
448		3.96E-05
447.5		8.64E-05
447		7.44E-06
446.5		7.56E-05
446		6.64E-05
445.5		0.000147402
445		8.90E-05
444.5		-9.41E-06
444		0.000383268
443.5		0.000215836
443		0.000154213
442.5		3.87E-05
442		4.88E-05
441.5		-5.42E-06
441		-2.12E-05
440.5		2.30E-05
440		9.56E-05
439.5		0.00011497
439		0.000131294
438.5		-0.000168302
438		9.73E-06
437.5		0.000109017
437		5.35E-05
436.5		-0.000127109
436		9.78E-05
435.5		-2.09E-05
435		5.52E-05
434.5		0.000121298
434		0.000209379
433.5		0.000125769
433		-9.35E-05
432.5		-4.95E-06
432		7.51E-06
431.5		-6.65E-05
431		7.69E-05
430.5		-3.28E-06
430		0.00010317
429.5		8.54E-05
429		9.26E-05
428.5		0.000145043
428		0.000208159
427.5		9.08E-05
427		0.000107542
426.5		0.00012181
426		9.08E-05
425.5		6.43E-05
425		0.000111926
424.5		-1.41E-05
424		4.78E-05
423.5		6.75E-05
423		6.24E-05
422.5		-1.95E-06
422		0.000128213
421.5		0.000124177
421		0.000214959
420.5		-2.22E-05
420		0.000233028
419.5		0.000194878
419		0.000156016
418.5		2.73E-05
418		0.000103277
417.5		0.000143937
417		0.000197954
416.5		2.40E-05
416		8.35E-05
415.5		0.000200835
415		0.000134162
414.5		6.15E-05
414		6.05E-05
413.5		7.93E-05
413		-8.01E-06
412.5		-6.39E-05
412		9.11E-05
411.5		0.000215033
411		9.04E-05
410.5		0.000255117
410		-9.95E-05
409.5		-1.40E-05
409		0.000208242
408.5		7.90E-05
408		1.62E-06
407.5		-1.34E-05
407		0.000118956
406.5		-2.44E-05
406		1.02E-06
405.5		8.46E-05
405		0.000194313
404.5		0.00018237
404		0.000154973
403.5		8.09E-05
403		7.50E-05
402.5		9.67E-05
402		0.000223403
401.5		5.67E-05
401		0.000210167
400.5		-8.57E-06
400		8.73E-05
399.5		3.36E-05
399		5.33E-05
398.5		1.44E-05
398		0.000187488
397.5		1.70E-05
397		0.000106535
396.5		-3.36E-05
396		0.000117511
395.5		2.22E-05
395		-0.00017179
394.5		2.55E-05
394		2.81E-05
393.5		0.000132966
393		0.000155794
392.5		0.000121835
392		1.10E-05
391.5		2.54E-05
391		0.000109363
390.5		9.42E-05
390		7.11E-05
389.5		0.000130406
389		0.000115621
388.5		4.27E-05
388		0.000126756
387.5		3.17E-05
387		0.000125565
386.5		5.11E-05
386		0.000132831
385.5		-3.08E-05
385		-6.28E-05
384.5		0.000159695
384		0.000159857
383.5		0.000197036
383		-2.52E-05
382.5		0.000399532
382		9.69E-05
381.5		-2.11E-05
381		0.000110666
380.5		-4.62E-05
380		8.18E-05
379.5		0.000215318
379		3.55E-05
378.5		1.83E-06
378		-7.08E-05
377.5		0.000130713
377		7.85E-05
376.5		0.000136657
